ID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
AO-S163,39,0.75,0.406260142,-0.015224099,0.141891892,0.92887351,0.254901961,0.23856656,0.025726979,1,0,0,0.006711409,0.007403085,13.30963952,3.167725176,23.75338807,0.587254823,0.556056995,0.155238714
AO-S164,34,0.653846154,1.167310118,0.004920886,0.277027027,0.963006536,0.352941176,0.351811066,0.240295892,1,0,0,0.006711409,0.009086204,8.6432011,2.741755967,15.51420362,0.383557532,0.454747727,0.362376476
AO-S165,23,0.442307692,4.446612002,0.149852696,0.560810811,0.943138947,0.568627451,0.306964773,0.400898988,1,0,0.140820841,0.006711409,0.075668494,3.166095506,2.61580425,13.67821266,0.338166342,0.466079139,0.430246289
AO-S166,41,0.788461538,0.56073003,-0.010713902,0.074324324,0.87368901,0.215686275,0.171293021,0.023637056,1,0,0,0.006711409,0.008313207,12.49508766,3.360046887,28.79054074,0.711788308,0.563706923,0.130975312
AO-S167,38,0.730769231,1.353787308,0.009310192,0.168918919,0.905045164,0.274509804,0.235535557,0.082450169,1,0,0.048537724,0.006711409,0.026968081,7.743111457,2.954227539,19.18689586,0.474357472,0.510355603,0.206373992
AO-S168,40,0.769230769,0.25954678,-0.018511331,0.114864865,0.940359477,0.235294118,0.258797071,0.015987433,1,0,0,0.006711409,0.002930588,25.47360863,3.134359087,22.97390686,0.567983715,0.484423947,0.168168114
AO-S172,39,0.75,0.277409669,-0.018527957,0.148648649,0.969983055,0.254901961,0.39030308,0.019796209,1,0,0,0.006711409,0.006109616,14.27684487,2.792680867,16.32472561,0.40359606,0.490971831,0.154362227
AO-S178,34,0.653846154,0.765542035,-0.006895823,0.256756757,0.950588235,0.352941176,0.307624488,0.074227833,1,0,0.001167363,0.006711409,0.015068352,8.112822398,2.778526898,16.09529346,0.397923811,0.446098173,0.253351162
AO-S186,39,0.75,0.558580539,-0.011318448,0.135135135,0.917320261,0.254901961,0.210189061,0.034735713,1,0,0,0.006711409,0.008915548,11.74972973,3.242724736,25.60338926,0.632992387,0.559121983,0.168251759
AO-S187,42,0.807692308,0.330455548,-0.015941535,0.054054054,0.773755656,0.196078431,0.132872507,0.011107571,1,0,0,0.006711409,0.005207516,18.32402833,3.512480112,33.53132618,0.828994708,0.582132481,0.103967483
