Sample,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,
MW-S099,52,0.658227848,0.454229009,-0.010495596,0.276995305,0.964891519,0.346153846,0.312665554,0.054502338,1,0.004716981,0,0.004673,0.005743813,20.2864239,3.019174398,20.47438102,0.306447394,0.466972579,0.242728505
MW-S100,55,0.696202532,0.371455497,-0.011428082,0.197183099,0.865007541,0.307692308,0.137174874,0.011630247,1,0.004716981,0,0.004673,0.004857583,25.40261957,3.715239229,41.06841067,0.614685613,0.624612447,0.097183054
MW-S101,58,0.734177215,0.32623689,-0.011616605,0.131455399,0.830586081,0.269230769,0.133200468,0.008972757,1,0.004716981,0,0.004673,0.005241998,27.51188869,3.746501665,42.3725889,0.634205715,0.642353089,0.074426002
MW-S102,50,0.632911392,0.339673814,-0.013206524,0.352112676,0.885369532,0.371794872,0.159951451,0.014903298,1,0.004716981,0,0.004673,0.003930408,23.97414708,3.574162885,35.66475281,0.53380713,0.57159492,0.126985284
MW-S103,38,0.481012658,0.127404263,-0.022963046,0.708920188,0.930769231,0.525641026,0.215695246,0.007170606,1,0.004716981,0,0.004673,0.001783927,39.3576345,3.284553122,26.69705133,0.39958433,0.495428666,0.145385481
MW-S104,43,0.544303797,0.232494909,-0.017848956,0.511737089,0.914262821,0.461538462,0.198318272,0.012833985,1,0.004716981,0,0.004673,0.00316769,23.49435897,3.339341939,28.20056291,0.422087926,0.484893751,0.161973314
MW-S109,53,0.670886076,0.456105618,-0.010262158,0.248826291,0.784615385,0.333333333,0.125018005,0.012424296,1,0.004716981,0,0.004673,0.004053772,25.53063432,3.750052214,42.52330227,0.636461496,0.592720943,0.112375726
MW-S115,46,0.582278481,1.086539999,0.001881304,0.44600939,0.875225713,0.423076923,0.172464575,0.045038718,1,0.004716981,0.018302015,0.004673,0.0185946,10.76314761,3.4312449,30.915105,0.46271745,0.559162632,0.158714704
MW-S116,44,0.556962025,0.264765014,-0.016709886,0.492957746,0.957922419,0.448717949,0.258356585,0.020570768,1,0.004716981,0,0.004673,0.004325019,19.47701686,3.184886115,24.16453627,0.36167927,0.483619016,0.172160584
MW-S117,50,0.632911392,0.369731496,-0.01260537,0.338028169,0.91025641,0.371794872,0.178025135,0.016214856,1,0.004716981,0,0.004673,0.004907808,21.39803659,3.51328278,33.5582515,0.50227837,0.554966079,0.138598653
MW-S118,47,0.594936709,0.213595485,-0.016732011,0.436619718,0.897435897,0.41025641,0.167358102,0.009225309,1,0.004716981,0,0.004673,0.003335247,27.18240953,3.532912826,34.22350969,0.512235528,0.57424365,0.111649813
MW-S119,43,0.544303797,0.135083577,-0.020114335,0.530516432,0.826923077,0.461538462,0.142235611,0.004435236,1,0.004716981,0,0.004673,0.002485807,33.70935826,3.585503694,36.07152216,0.539895392,0.606403718,0.076473542
MW-S120,22,0.278481013,0.137269239,-0.039215035,0.953051643,0.980769231,0.730769231,0.413204036,0.032155434,1,0.004716981,0,0.004673,0.001262543,17.00588408,2.442419065,11.50082838,0.172137018,0.309381515,0.303048991
MW-S121,34,0.430379747,0.104418146,-0.026340643,0.788732394,0.786324786,0.576923077,0.151245465,0.003710732,1,0.004716981,0,0.004673,0.001506682,40.93000097,3.433828037,30.99506621,0.463914258,0.500504957,0.100921621
MW-S123,32,0.405063291,0.099976318,-0.02812574,0.830985915,0.853846154,0.602564103,0.186027004,0.005020735,1,0.004716981,0,0.004673,0.001792499,26.5887437,3.255688095,25.93745584,0.388215192,0.501883594,0.120654479
MW-S124,32,0.405063291,0.208948595,-0.024720356,0.82629108,0.945054945,0.602564103,0.245997249,0.015237638,1,0.004716981,0,0.004673,0.004430676,12.55707095,3.013844158,20.36553799,0.304818302,0.449218893,0.180243617
MW-S125,39,0.493670886,0.168121072,-0.021330229,0.643192488,0.935897436,0.512820513,0.203099316,0.011149613,1,0.004716981,0,0.004673,0.002850728,24.46494849,3.339436252,28.20322272,0.422127736,0.546576483,0.138802519
MW-S126,47,0.594936709,0.241546391,-0.016137311,0.422535211,0.893665158,0.41025641,0.176748005,0.010623298,1,0.004716981,0,0.004673,0.004242827,22.62464598,3.475941096,32.3282382,0.483868321,0.576380231,0.110818119
MW-S127,31,0.392405063,0.070140894,-0.029995455,0.854460094,0.824786325,0.615384615,0.164130954,0.00288918,1,0.004716981,0,0.004673,0.001355637,46.69957422,3.338926654,28.18885406,0.421912676,0.52367473,0.082306765
MW-S128,50,0.632911392,0.195631943,-0.016087361,0.370892019,0.84775641,0.371794872,0.134222451,0.006184274,1,0.004716981,0,0.004673,0.002667837,38.30316487,3.700876988,40.4827917,0.605920444,0.587593048,0.094239618
MW-S129,13,0.164556962,0.059162799,-0.072372092,1,0.981481481,0.846153846,0.433669812,0.017253383,1.004694836,0,0,0.00466203,0.000710053,13.35002153,2.129164473,8.407838904,0.125843136,0.23073504,0.244216541
TZ1,20,0.253164557,0.07680036,-0.046159982,0.96713615,0.903846154,0.756410256,0.242946819,0.005835092,1,0.004716981,0,0.004673,0.000960851,20.37494502,2.817823693,16.74037879,0.250559246,0.285926994,0.183831323
TZ10,32,0.405063291,0.145311836,-0.026709005,0.835680751,0.891025641,0.602564103,0.185070716,0.007543324,1,0.004716981,0,0.004673,0.001511276,30.14363888,3.267523697,26.24626509,0.392837251,0.410574992,0.167562001
TZ100,59,0.746835443,0.944878067,-0.00093427,0.103286385,0.926672921,0.256410256,0.175607647,0.040910994,1,0.004716981,0.068522112,0.004673,0.011957567,16.74412993,3.606892799,36.85137013,0.551567656,0.586373117,0.14294216
TZ101,63,0.797468354,1.080586122,0.001279145,0.018779343,0.960172341,0.205128205,0.255324434,0.089416963,1,0.004716981,0.090184756,0.004673,0.008896775,19.05186655,3.38407818,29.49079499,0.441399292,0.482427556,0.235308446
TZ102,46,0.582278481,0.152995719,-0.018413137,0.474178404,0.884615385,0.423076923,0.143751777,0.005986058,1,0.004716981,0,0.004673,0.001845038,58.36072356,3.647724435,38.38721399,0.574555182,0.59510798,0.094386259
TZ103,47,0.594936709,0.223005002,-0.016531808,0.441314554,0.881118881,0.41025641,0.151499908,0.010066439,1,0.004716981,0,0.004673,0.003071621,30.19571255,3.599224954,36.56988011,0.547354494,0.603466494,0.108885875
TZ104,18,0.227848101,0.046836394,-0.052953534,0.985915493,0.939102564,0.782051282,0.248693937,0.004053012,1,0.004716981,0,0.004673,0.000737717,38.15705148,2.773852209,16.02022856,0.239780499,0.297758855,0.123574856
TZ105,51,0.64556962,0.427256591,-0.011230263,0.300469484,0.965384615,0.358974359,0.283251411,0.042797708,1,0.004716981,0,0.004673,0.006622954,19.01115728,3.219873276,25.02494873,0.374557371,0.538173411,0.18984348
TZ106,45,0.569620253,0.305965278,-0.015422994,0.478873239,0.91469428,0.435897436,0.215376577,0.017989093,1,0.004716981,0,0.004673,0.005525697,18.12011348,3.271489305,26.35055415,0.394398182,0.522167992,0.158352217
TZ107,51,0.64556962,0.460786835,-0.010572807,0.295774648,0.873767258,0.358974359,0.172757654,0.019633959,1,0.004716981,0,0.004673,0.006942146,18.19189993,3.47561153,32.31758566,0.48370888,0.537437703,0.136783783
TZ108,60,0.759493671,0.600511219,-0.006658146,0.089201878,0.877712032,0.243589744,0.144589055,0.021756291,1,0.004716981,0,0.004673,0.00606735,23.71522662,3.736107833,41.93445622,0.627648026,0.583037436,0.1291269
TZ109,43,0.544303797,0.177083512,-0.019137593,0.516431925,0.921104536,0.461538462,0.190382464,0.008930985,1,0.004716981,0,0.004673,0.002519942,31.03911519,3.412796508,30.34999972,0.454259317,0.525211439,0.136340234
TZ110,39,0.493670886,0.129782336,-0.022313273,0.661971831,0.83974359,0.512820513,0.145664123,0.004900044,1,0.004716981,0,0.004673,0.001520594,63.00338718,3.542868264,34.56592131,0.517360525,0.521408111,0.109677407
TZ111,42,0.53164557,0.171878536,-0.019717178,0.582159624,0.842948718,0.474358974,0.130790627,0.006748025,1,0.004716981,0,0.004673,0.001363626,93.64356939,3.646541339,38.34182506,0.573875829,0.583337379,0.106176067
TZ112,53,0.670886076,0.980754251,-0.000363127,0.230046948,0.866231253,0.333333333,0.142564355,0.030310967,1,0.004716981,0.013742289,0.004673,0.013824759,13.97538823,3.64326158,38.21627912,0.571996738,0.606965174,0.121404835
