Samples,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
TZ173,58,0.753246753,0.751056002,-0.004292138,0.220858896,0.889724311,0.25,0.166428376,0.032897937,1,0.00617284,0,0.006097789,0.005662841,27.71204227,3.604102965,36.74870421,0.524708429,0.501837428,0.187094025
TZ178,41,0.532467532,0.18927125,-0.019773872,0.699386503,0.864035088,0.473684211,0.171315972,0.007841614,1,0.00617284,0,0.006097789,0.00251368,43.66641381,3.459804889,31.81076928,0.454203193,0.544463725,0.128224799
TZ179,23,0.298701299,0.092624266,-0.039451119,0.944785276,0.936403509,0.710526316,0.26214844,0.008466381,1,0.00617284,0,0.006097789,0.001556463,29.1803764,2.861813709,17.49322579,0.249773243,0.351446042,0.152323536
TZ181,50,0.649350649,0.31605122,-0.013678976,0.533742331,0.818421053,0.355263158,0.13144408,0.008613044,1,0.00617284,0,0.006097789,0.005709891,26.55147939,3.683629273,39.79054306,0.568140668,0.627223331,0.078983947
TZ184,47,0.61038961,0.227930255,-0.016427016,0.601226994,0.929149798,0.394736842,0.178039688,0.010944531,1,0.00617284,0,0.006097789,0.003061715,44.8954414,3.561717842,35.22365388,0.502933328,0.596343132,0.121332807
TZ188,56,0.727272727,0.82862495,-0.003060269,0.300613497,0.876485569,0.276315789,0.145733024,0.033203681,1,0.00617284,0,0.006097789,0.010218805,19.5900895,3.666391766,39.110531,0.558431262,0.592640403,0.130388949
TZ189,66,0.857142857,0.515016098,-0.007348241,0.018404908,0.877923977,0.144736842,0.138983607,0.015661342,1,0.00617284,0,0.006097789,0.005974426,36.69300973,3.825367224,45.84963436,0.654654093,0.625602201,0.099155698
TZ191,50,0.649350649,1.789466035,0.015789321,0.527607362,0.825657895,0.355263158,0.150040268,0.059630956,1,0.00617284,0.139117912,0.006097789,0.027424106,11.58875403,3.569794955,35.50931141,0.507012027,0.582726358,0.152855072
TZ194,39,0.506493506,0.225190497,-0.01986691,0.72392638,0.891812865,0.5,0.18690545,0.012087105,1,0.00617284,0,0.006097789,0.003133368,28.69838946,3.349779932,28.49646179,0.40688057,0.492128952,0.16344072
TZ195,43,0.558441558,0.24056082,-0.017661376,0.662576687,0.851973684,0.447368421,0.151396243,0.008449154,1,0.00617284,0,0.006097789,0.00375805,29.24212128,3.532034322,34.19345742,0.48822389,0.553105744,0.113727115
TZ196,41,0.532467532,0.182091296,-0.019948993,0.705521472,0.842105263,0.473684211,0.147014301,0.006195085,1,0.00617284,0,0.006097789,0.002401321,47.65634656,3.551999454,34.88299476,0.4980693,0.53439101,0.114565523
TZ198,42,0.545454545,0.278039457,-0.017189537,0.693251534,0.903947368,0.460526316,0.168708666,0.010572841,1,0.00617284,0,0.006097789,0.00305904,33.96647584,3.480680961,32.4818334,0.463784837,0.51468422,0.140367409
TZ201,51,0.662337662,0.606383329,-0.007717974,0.503067485,0.937799043,0.342105263,0.222509213,0.048208555,1,0.00617284,0,0.006097789,0.003680258,31.87573235,3.361535612,28.83343386,0.411691952,0.456809185,0.241663683
TZ208,51,0.662337662,0.571869288,-0.00839472,0.478527607,0.868993135,0.342105263,0.162899503,0.020917387,1,0.00617284,0,0.006097789,0.009037673,19.29287316,3.556012363,35.02325829,0.500072023,0.566602923,0.129768035
TZ211,63,0.818181818,0.591803467,-0.00647931,0.061349693,0.817434211,0.184210526,0.120689863,0.014434249,1,0.00617284,0.00050405,0.006097789,0.008124855,27.97331547,3.842559593,46.64471325,0.666006455,0.645526609,0.079997982
TZ214,38,0.493506494,0.187278428,-0.02138741,0.760736196,0.818421053,0.513157895,0.153217639,0.007178576,1,0.00617284,0,0.006097789,0.002823575,31.35291249,3.474130385,32.26975406,0.460756708,0.541390523,0.12199886
TZ216,55,0.714285714,0.675560394,-0.005898902,0.337423313,0.927631579,0.289473684,0.220639667,0.048360273,1,0.00617284,0.000144014,0.006097789,0.008820277,20.75505982,3.392821345,29.74976833,0.424775636,0.540649171,0.185040204
TZ217,46,0.597402597,0.277632371,-0.015703644,0.63190184,0.845394737,0.407894737,0.143304326,0.008893318,1,0.00617284,0,0.006097789,0.003830664,32.25827145,3.607081381,36.85832029,0.526273559,0.566033811,0.111517815
TZ218,46,0.597402597,0.450165757,-0.011952918,0.607361963,0.835087719,0.407894737,0.147742195,0.015956137,1,0.00617284,0,0.006097789,0.007523473,18.54532527,3.538768897,34.42451297,0.491522967,0.55617986,0.123215429
TZ220,49,0.636363636,0.2305306,-0.015703457,0.558282209,0.851503759,0.368421053,0.136466675,0.007162058,1,0.00617284,0,0.006097789,0.003199863,47.2817266,3.685436788,39.86253013,0.569168519,0.594554811,0.098378192
TZ222,54,0.701298701,1.707517205,0.01310217,0.374233129,0.824317739,0.302631579,0.14001995,0.051379121,1,0.00617284,0.13659766,0.006097789,0.023862819,13.20584481,3.656519442,38.72631883,0.552945372,0.6009421,0.134332071
TZ224,21,0.272727273,0.07695612,-0.04395447,0.963190184,0.960526316,0.736842105,0.289490038,0.009147084,1,0.00617284,0,0.006097789,0.001389494,26.56186646,2.756237218,15.74050329,0.224747374,0.350190051,0.147395439
TZ226,58,0.753246753,1.114335554,0.001971303,0.17791411,0.949605263,0.25,0.230571021,0.053885215,1,0.00617284,0.095553555,0.006097789,0.015416364,17.21426881,3.37617944,29.25877241,0.417765057,0.528114135,0.183429877
TZ227,51,0.662337662,0.215868924,-0.015375119,0.521472393,0.710526316,0.342105263,0.107241416,0.004992937,1,0.00617284,0,0.006097789,0.003561788,47.08687569,3.820959894,45.64800455,0.651775165,0.671228974,0.060964378
TZ228,47,0.61038961,0.607510045,-0.00835085,0.582822086,0.953835861,0.394736842,0.242978801,0.045661615,1,0.00617284,0,0.006097789,0.00969698,16.57104021,3.268551378,26.27325176,0.375136946,0.517247631,0.196179986
TZ229,56,0.727272727,0.285426052,-0.012760249,0.319018405,0.830592105,0.276315789,0.1266247,0.007858003,1,0.00617284,0,0.006097789,0.003998415,45.10601988,3.797478945,44.5886323,0.636649148,0.635612608,0.079831129
TZ230,60,0.779220779,0.610033916,-0.006499435,0.128834356,0.881006865,0.223684211,0.164891434,0.022407888,1,0.00617284,7.20E-05,0.006097789,0.007511414,26.31319295,3.617851332,37.2574279,0.53197213,0.553631792,0.136713656
TZ231,58,0.753246753,0.437569749,-0.009697073,0.245398773,0.855263158,0.25,0.128441461,0.016529344,1,0.00617284,0,0.006097789,0.004323154,39.50406187,3.79645251,44.54288842,0.635996004,0.585535073,0.118053042
TZ232,65,0.844155844,0.796073338,-0.003137333,0.024539877,0.759868421,0.157894737,0.111784292,0.019187906,1,0.00617284,0.055661566,0.006097789,0.009609561,25.16147091,3.867317649,47.81396008,0.682701293,0.626789712,0.091096198
TZ233,59,0.766233766,0.619001395,-0.006457603,0.147239264,0.796875,0.236842105,0.13327839,0.018889324,1,0.00617284,7.20E-05,0.006097789,0.008697812,23.64723753,3.728198912,41.60410798,0.594035262,0.604220777,0.100942328
TZ234,58,0.753246753,0.709763951,-0.00500407,0.190184049,0.896514936,0.25,0.16505334,0.025268256,1,0.00617284,0.018889889,0.006097789,0.011207308,20.45726243,3.600933277,36.63240667,0.5230479,0.610149199,0.117742431
TZ235,43,0.558441558,0.409157914,-0.013740514,0.656441718,0.949066214,0.447368421,0.244639496,0.034477244,1,0.00617284,0,0.006097789,0.005210083,20.06447322,3.200750282,24.55094341,0.350545338,0.462196058,0.211922081
TZ236,46,0.597402597,0.314886878,-0.014893764,0.613496933,0.861244019,0.407894737,0.159211373,0.012954582,1,0.00617284,0,0.006097789,0.004804613,25.91427308,3.521401907,33.83182429,0.48306039,0.539463901,0.131593775
TZ237,36,0.467532468,0.185891408,-0.022614128,0.779141104,0.864661654,0.539473684,0.165119726,0.00702981,1,0.00617284,0,0.006097789,0.003188668,25.54897816,3.396096389,29.84735987,0.426169076,0.507940732,0.122846674
TZ239,53,0.688311688,0.38684877,-0.011568891,0.435582822,0.858851675,0.315789474,0.139772679,0.013577813,1,0.00617284,0,0.006097789,0.004507712,33.62633482,3.700582376,40.47086676,0.577854522,0.602259861,0.113605723
TZ240,49,0.636363636,0.68863652,-0.006354357,0.539877301,0.849542334,0.368421053,0.148806393,0.022598278,1,0.00617284,0,0.006097789,0.009941183,17.01609817,3.577455587,35.78237976,0.510910974,0.565728718,0.132493451
TZ241,51,0.662337662,0.344134652,-0.012860105,0.484662577,0.914473684,0.342105263,0.178525474,0.014856001,1,0.00617284,0,0.006097789,0.005752382,27.22483548,3.529270903,34.099097,0.486876585,0.574129896,0.123495721
TZ242,59,0.766233766,0.579267215,-0.007131064,0.159509202,0.821770335,0.236842105,0.130381683,0.019942412,1,0.00617284,0,0.006097789,0.00505557,33.77050462,3.778814523,43.7641296,0.624876664,0.575912039,0.128152769
TZ243,34,0.441558442,0.119990204,-0.025882641,0.809815951,0.919172932,0.565789474,0.186180444,0.006023327,1,0.00617284,0,0.006097789,0.002064058,46.74036537,3.334610825,28.06745795,0.400755131,0.509386878,0.107478255
TZ244,53,0.688311688,0.565586955,-0.008196473,0.423312883,0.847222222,0.315789474,0.145572798,0.019899731,1,0.00617284,0,0.006097789,0.007782914,21.74924361,3.63761789,38.00120577,0.542592002,0.580642949,0.127134604
TZ245,53,0.688311688,0.264753327,-0.013872579,0.447852761,0.885167464,0.315789474,0.133802823,0.007653564,1,0.00617284,0,0.006097789,0.004063561,41.66627325,3.757407305,42.83721804,0.611641958,0.652369501,0.078445762
TZ246,66,0.857142857,0.6987106,-0.004564991,0.012269939,0.924228675,0.144736842,0.161347066,0.025530607,1,0.00617284,0.008136814,0.006097789,0.00618359,34.95433034,3.784273966,44.00371079,0.628297472,0.572948644,0.13578816
TZ247,55,0.714285714,0.344657648,-0.011915315,0.36809816,0.875,0.289473684,0.14658462,0.011907787,1,0.00617284,0,0.006097789,0.003341798,46.65865744,3.720539664,41.28666903,0.589502779,0.570252851,0.123739962
TZ253,58,0.753246753,0.558981012,-0.007603776,0.214723926,0.849722992,0.25,0.143921779,0.017448995,1,0.00617284,0,0.006097789,0.008186531,24.5574607,3.677643542,39.553079,0.564750088,0.586202449,0.10961752
TZ256,52,0.675324675,0.54354578,-0.008777966,0.460122699,0.898635478,0.328947368,0.168728128,0.021865425,1,0.00617284,0,0.006097789,0.008104906,20.67672321,3.523878523,33.91571659,0.484258228,0.561320267,0.133037157
TZ257,55,0.714285714,0.413665552,-0.010660626,0.355828221,0.827751196,0.289473684,0.137294873,0.013533301,1,0.00617284,0,0.006097789,0.005323333,30.43558897,3.704989054,40.64960236,0.58040656,0.579795395,0.113042234
TZ258,55,0.714285714,0.614434709,-0.007010278,0.343558282,0.859649123,0.289473684,0.138560521,0.022011526,1,0.00617284,0,0.006097789,0.008374923,22.05290563,3.691647758,40.11088556,0.572714609,0.60748333,0.111586226
TZ259,59,0.766233766,0.581842034,-0.007087423,0.153374233,0.88870614,0.236842105,0.152949573,0.020368357,1,0.00617284,0,0.006097789,0.007480641,25.8857447,3.678025186,39.56817707,0.564965663,0.59440541,0.117279845
TZ260,64,0.831168831,0.811466588,-0.002945835,0.036809816,0.906641604,0.171052632,0.156112191,0.025003587,1,0.00617284,0.050789079,0.006097789,0.011083876,23.30010122,3.689804888,40.03703451,0.571660143,0.615530248,0.10857071
TZ261,58,0.753246753,0.744279896,-0.004408967,0.202453988,0.875,0.25,0.138878233,0.02559503,1,0.00617284,0.001656166,0.006097789,0.009386207,21.64201653,3.743719193,42.25485224,0.603326774,0.621655722,0.117181128
TZ262,27,0.350649351,0.067123927,-0.034550966,0.901840491,0.809210526,0.657894737,0.167208896,0.002668749,1,0.00617284,0,0.006097789,0.001363981,99.91879676,3.255110513,25.92247914,0.370128515,0.441447695,0.048500315
TZ263,53,0.688311688,0.559440275,-0.008312448,0.429447853,0.882352941,0.315789474,0.146869454,0.020473012,1,0.00617284,0,0.006097789,0.005098058,26.53704232,3.660996525,38.90008846,0.555426504,0.518351801,0.150641761
TZ266,58,0.753246753,0.983493006,-0.000284603,0.18404908,0.873514431,0.25,0.170047712,0.04832213,1,0.00617284,0.000672067,0.006097789,0.009824397,20.42636232,3.546060817,34.67645121,0.495120213,0.533072732,0.186557899
TZ268,57,0.74025974,0.523125595,-0.008366218,0.282208589,0.823308271,0.263157895,0.13108853,0.016628169,1,0.00617284,0,0.006097789,0.006763742,26.42812141,3.747409964,42.41109336,0.605557629,0.596274898,0.111267992
